"overall_level","overall_score","reading_score","reading_level","grammar_score","grammar_level","listening_score","listening_level","total_time_spent_on_test"
"Low Intermediate",490,255,"Intermediate",115,"Low Intermediate",120,"Intermediate",55.55
"Low Intermediate",405,140,"Low Intermediate",150,"Low Intermediate",115,"Low Intermediate",34.93
"High Beginner",70,40,"High Beginner",20,"Beginner",10,"Beginner",14.83
"Low Intermediate",215,85,"Low Intermediate",50,"High Beginner",80,"Low Intermediate",38.15
"Low Intermediate",270,85,"Low Intermediate",105,"Low Intermediate",80,"Low Intermediate",39.43
"Low Intermediate",355,0,"Beginner",355,"Intermediate",0,"Beginner",9.97
"Low Intermediate",245,20,"High Beginner",160,"Low Intermediate",65,"Low Intermediate",29.38
"Low Intermediate",410,180,"Intermediate",145,"Low Intermediate",85,"Low Intermediate",33.28
"Low Intermediate",415,235,"Intermediate",120,"Low Intermediate",60,"Low Intermediate",32.23
"Low Intermediate",280,105,"Low Intermediate",50,"High Beginner",125,"Intermediate",24.88
"Beginner",10,0,"Beginner",0,"Beginner",10,"Beginner",1.02
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",14.43
"Low Intermediate",465,105,"Low Intermediate",190,"Low Intermediate",170,"Intermediate",34.52
"Intermediate",580,155,"Low Intermediate",345,"Intermediate",80,"Low Intermediate",45.27
"Intermediate",515,95,"Low Intermediate",300,"Intermediate",120,"Intermediate",34.72
"Intermediate",515,115,"Low Intermediate",265,"Intermediate",135,"Intermediate",41.13
"High Beginner",190,20,"High Beginner",150,"Low Intermediate",20,"High Beginner",16.17
"Low Intermediate",310,160,"Low Intermediate",85,"High Beginner",65,"Low Intermediate",32.98
"Low Intermediate",460,185,"Intermediate",185,"Low Intermediate",90,"Low Intermediate",53.13
"High Beginner",80,10,"Beginner",40,"High Beginner",30,"High Beginner",12.97
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",13.33
"Intermediate",540,230,"Intermediate",165,"Low Intermediate",145,"Intermediate",62.47
"Low Intermediate",435,140,"Low Intermediate",175,"Low Intermediate",120,"Intermediate",52.1
"High Intermediate",965,270,"Intermediate",380,"High Intermediate",315,"Low Advanced",59.8
"Intermediate",515,180,"Intermediate",185,"Low Intermediate",150,"Intermediate",27.18
"High Beginner",70,0,"Beginner",40,"High Beginner",30,"High Beginner",31.53
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",6.87
"High Beginner",80,10,"Beginner",30,"High Beginner",40,"High Beginner",11.63
"Low Intermediate",285,110,"Low Intermediate",105,"Low Intermediate",70,"Low Intermediate",23.18
"High Intermediate",920,375,"High Intermediate",320,"Intermediate",225,"High Intermediate",74.98
"Intermediate",710,255,"Intermediate",270,"Intermediate",185,"Intermediate",54.77
"Intermediate",570,225,"Intermediate",165,"Low Intermediate",180,"Intermediate",50.5
"Intermediate",740,210,"Intermediate",380,"High Intermediate",150,"Intermediate",64.3
"Intermediate",565,210,"Intermediate",225,"Intermediate",130,"Intermediate",50.08
"Intermediate",555,220,"Intermediate",280,"Intermediate",55,"Low Intermediate",55.28
"Low Intermediate",485,140,"Low Intermediate",250,"Intermediate",95,"Low Intermediate",33.7
"Low Intermediate",415,140,"Low Intermediate",135,"Low Intermediate",140,"Intermediate",28.68
"Low Intermediate",285,55,"High Beginner",110,"Low Intermediate",120,"Intermediate",5.07
"Low Intermediate",345,100,"Low Intermediate",120,"Low Intermediate",125,"Intermediate",21.53
"Low Intermediate",480,290,"Intermediate",140,"Low Intermediate",50,"High Beginner",35.45
"Intermediate",570,195,"Intermediate",185,"Low Intermediate",190,"Intermediate",42.05
"Low Intermediate",225,30,"High Beginner",185,"Low Intermediate",10,"Beginner",16.03
"Low Intermediate",420,145,"Low Intermediate",190,"Low Intermediate",85,"Low Intermediate",35.65
"Low Intermediate",285,75,"Low Intermediate",125,"Low Intermediate",85,"Low Intermediate",30.35
"High Beginner",70,20,"High Beginner",10,"Beginner",40,"High Beginner",8.58
"Beginner",25,0,"Beginner",0,"Beginner",25,"High Beginner",0.7
"Intermediate",545,165,"Intermediate",215,"Intermediate",165,"Intermediate",49.53
"Low Intermediate",245,50,"High Beginner",155,"Low Intermediate",40,"High Beginner",39.05
"Intermediate",530,195,"Intermediate",250,"Intermediate",85,"Low Intermediate",31.88
"Intermediate",555,135,"Low Intermediate",325,"Intermediate",95,"Low Intermediate",34.42
"Beginner",20,0,"Beginner",20,"Beginner",0,"Beginner",5.53
"High Beginner",80,20,"High Beginner",30,"High Beginner",30,"High Beginner",3.42
"Intermediate",605,195,"Intermediate",225,"Intermediate",185,"Intermediate",32.8
"High Intermediate",890,250,"Intermediate",475,"High Intermediate",165,"Intermediate",43.73
"Beginner",10,0,"Beginner",10,"Beginner",0,"Beginner",5.07
"High Beginner",130,50,"High Beginner",50,"High Beginner",30,"High Beginner",11.42
"Low Intermediate",315,70,"High Beginner",175,"Low Intermediate",70,"Low Intermediate",24.7
"Intermediate",605,135,"Low Intermediate",375,"Intermediate",95,"Low Intermediate",38.1
"Beginner",10,0,"Beginner",10,"Beginner",0,"Beginner",9.1
"Intermediate",615,340,"High Intermediate",175,"Low Intermediate",100,"Low Intermediate",26.17
"Intermediate",530,150,"Low Intermediate",220,"Intermediate",160,"Intermediate",42.65
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",5.27
"Low Intermediate",265,80,"Low Intermediate",70,"High Beginner",115,"Low Intermediate",14.93
"Low Intermediate",230,60,"High Beginner",85,"High Beginner",85,"Low Intermediate",20.07
"Low Intermediate",395,120,"Low Intermediate",265,"Intermediate",10,"Beginner",36.77
"Low Intermediate",390,80,"Low Intermediate",195,"Low Intermediate",115,"Low Intermediate",50.7
"Low Intermediate",440,160,"Low Intermediate",215,"Intermediate",65,"Low Intermediate",56.9
"Low Intermediate",300,50,"High Beginner",170,"Low Intermediate",80,"Low Intermediate",38.88
"High Beginner",60,0,"Beginner",30,"High Beginner",30,"High Beginner",9.55
"Intermediate",755,275,"Intermediate",345,"Intermediate",135,"Intermediate",41.5
"Intermediate",545,180,"Intermediate",205,"Low Intermediate",160,"Intermediate",57.2
"Beginner",40,0,"Beginner",20,"Beginner",20,"High Beginner",8.55
"Low Intermediate",340,110,"Low Intermediate",130,"Low Intermediate",100,"Low Intermediate",24.1
"High Beginner",130,60,"High Beginner",50,"High Beginner",20,"High Beginner",15.72
"Low Intermediate",430,180,"Intermediate",205,"Low Intermediate",45,"High Beginner",15.28
"Intermediate",610,195,"Intermediate",255,"Intermediate",160,"Intermediate",40.22
"High Beginner",100,30,"High Beginner",20,"Beginner",50,"High Beginner",16.1
"Low Intermediate",400,235,"Intermediate",80,"High Beginner",85,"Low Intermediate",34.93
